cdsID	uniprot	u_ev	spur	s_ev	cel	cel_ev	dmel	dmel_ev
lcl|NW_011934501.1_cds_XP_011426503.1_1	sp|Q9Z223|MOC2B_MOUSE	1.6e-51	XP_030832723.1	8.98e-56	T27A3.6	1.14e-28	NA	NA
lcl|NW_011934501.1_cds_XP_011434216.1_2	sp|Q9Z223|MOC2B_MOUSE	1.6e-51	XP_030832723.1	8.98e-56	T27A3.6	1.14e-28	NA	NA
lcl|NW_011934501.1_cds_XP_011445785.1_3	sp|Q9BUI4|RPC3_HUMAN	5.38e-65	XP_030832773.1	9.85e-58	C48E7.2	1.54e-22	NA	NA
lcl|NW_011934505.1_cds_XP_019917900.1_4	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934507.1_cds_XP_011423156.1_5	NA	NA	XP_030841873.1	1.42e-65	NA	NA	NA	NA
lcl|NW_011934512.1_cds_XP_011426108.1_6	sp|P22984|AMID_RHOER	6.17e-119	XP_003724618.2	2.91e-124	Y41D4A.6a	2.58e-31	NA	NA
lcl|NW_011934514.1_cds_XP_011427256.2_7	sp|Q9U8W7|TL5B_TACTR	1.81e-28	XP_030834558.1	1.12e-30	NA	NA	NA	NA
lcl|NW_011934516.1_cds_XP_011428421.2_8	sp|Q21944|GLPK_CAEEL	1.97e-24	XP_030834151.1	3.08e-21	R11F4.1	1.3e-25	NA	NA
lcl|NW_011934516.1_cds_XP_019923453.1_9	sp|Q21944|GLPK_CAEEL	1.97e-24	XP_030834151.1	3.08e-21	R11F4.1	1.3e-25	NA	NA
lcl|NW_011934516.1_cds_XP_019923670.1_10	sp|Q21944|GLPK_CAEEL	1.97e-24	XP_030834151.1	3.08e-21	R11F4.1	1.3e-25	NA	NA
lcl|NW_011934516.1_cds_XP_019923891.1_11	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934520.1_cds_XP_011430737.1_12	sp|O43301|HS12A_HUMAN	1.26e-53	XP_011671541.2	5.33e-49	NA	NA	NA	NA
lcl|NW_011934520.1_cds_XP_011429578.1_13	sp|Q9HCD6|TANC2_HUMAN	8.48e-157	XP_030828001.1	3.01e-163	F36H1.2h	8.28e-27	NA	NA
lcl|NW_011934525.1_cds_XP_011434217.1_14	NA	NA	XP_030853898.1	2.63e-26	NA	NA	NA	NA
lcl|NW_011934525.1_cds_XP_011436541.1_15	NA	NA	XP_030853898.1	3.65e-26	NA	NA	NA	NA
lcl|NW_011934525.1_cds_XP_011432688.1_16	NA	NA	XP_030853898.1	3.5e-26	NA	NA	NA	NA
lcl|NW_011934525.1_cds_XP_011433459.1_17	NA	NA	XP_030853898.1	7.1e-24	NA	NA	NA	NA
lcl|NW_011934525.1_cds_XP_011434994.1_18	NA	NA	XP_030853898.1	2.45e-23	NA	NA	NA	NA
lcl|NW_011934525.1_cds_XP_011435774.1_19	NA	NA	XP_030853898.1	2.45e-23	NA	NA	NA	NA
lcl|NW_011934527.1_cds_XP_011437695.1_20	sp|Q5NVI3|RED_PONAB	7.98e-76	XP_030836439.1	2.34e-65	Y49F6B.4	1.05e-33	NA	NA
