A0A1L8EV45	Ab_contig_4475	2.44e-61	ARP3B_XENLA	reviewed	Actin-related protein 3-B	actr3-b XELAEV_18044311mg	Xenopus laevis (African clawed frog)	418	Arp2/3 complex-mediated actin nucleation [GO:0034314]
A0A1L8EXB5	Ab_contig_2153	3.51e-51	AR1AB_XENLA	reviewed	Actin-related protein 2/3 complex subunit 1A-B	arpc1a-b XELAEV_18045070mg	Xenopus laevis (African clawed frog)	370	Arp2/3 complex-mediated actin nucleation [GO:0034314]
A0JP85	Ab_contig_5332	2.27e-25	CNOT1_XENTR	reviewed	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1)	cnot1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	2388	gene silencing by RNA [GO:0031047]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]
A0MCU0	Ab_contig_2353	1.24e-26	CYB_PRICU	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt:Cyt-b Cob cytb	Priapulus caudatus (Priapulid worm)	377	respiratory electron transport chain [GO:0022904]
A1A547	Ab_contig_2627	6.91e-24	PGRP3_MOUSE	reviewed	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)	Pglyrp3 Gm420 Pgrpia	Mus musculus (Mouse)	347	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; growth of symbiont in host [GO:0044117]; innate immune response [GO:0045087]; killing of cells of other organism [GO:0031640]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of natural killer cell differentiation involved in immune response [GO:0032827]; peptidoglycan catabolic process [GO:0009253]
A1DPK7	Ab_contig_1073	4.66e-58	ARC3A_XENLA	reviewed	Actin-related protein 2/3 complex subunit 3-A	arpc3-a XELAEV_18010654mg	Xenopus laevis (African clawed frog)	178	Arp2/3 complex-mediated actin nucleation [GO:0034314]
A1L108	Ab_contig_847	1.06e-36	ARP5L_RAT	reviewed	Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2)	Arpc5l	Rattus norvegicus (Rat)	153	Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell migration [GO:0016477]
A1XQU1	Ab_contig_4815	8.90e-50	PSB7_PIG	reviewed	Proteasome subunit beta type-7 (EC 3.4.25.1)	PSMB7	Sus scrofa (Pig)	277	proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
A2AX52	Ab_contig_1496	1.83e-28	CO6A4_MOUSE	reviewed	Collagen alpha-4(VI) chain	Col6a4 Dvwa	Mus musculus (Mouse)	2309	cell adhesion [GO:0007155]
A2AX52	Ab_contig_1496	3.38e-38	CO6A4_MOUSE	reviewed	Collagen alpha-4(VI) chain	Col6a4 Dvwa	Mus musculus (Mouse)	2309	cell adhesion [GO:0007155]
A2AX52	Ab_contig_1496	3.58e-38	CO6A4_MOUSE	reviewed	Collagen alpha-4(VI) chain	Col6a4 Dvwa	Mus musculus (Mouse)	2309	cell adhesion [GO:0007155]
A2AX52	Ab_contig_1496	5.81e-24	CO6A4_MOUSE	reviewed	Collagen alpha-4(VI) chain	Col6a4 Dvwa	Mus musculus (Mouse)	2309	cell adhesion [GO:0007155]
A2AX52	Ab_contig_1496	6.20e-24	CO6A4_MOUSE	reviewed	Collagen alpha-4(VI) chain	Col6a4 Dvwa	Mus musculus (Mouse)	2309	cell adhesion [GO:0007155]
A2RRT9	Ab_contig_3827	1.41e-42	CP4V2_RAT	reviewed	Cytochrome P450 4V2 (Docosahexaenoic acid omega-hydroxylase CYP4V2) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)	Cyp4v2 Cyp4v3	Rattus norvegicus (Rat)	525	fatty acid omega-oxidation [GO:0010430]
A3DH97	Ab_contig_2984	4.08e-27	RSGI6_HUNT2	reviewed	Anti-sigma-I factor RsgI6 (Endo-1,4-beta-xylanase) (EC 3.2.1.8)	rsgI6 Cthe_2119	Hungateiclostridium thermocellum (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	760	xylan catabolic process [GO:0045493]
A3QU28	Ab_contig_413	7.50e-65	CYB_EPIBI	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt:Cyt-b Cob cytb	Epiperipatus biolleyi (Velvet worm) (Peripatus biolleyi)	379	respiratory electron transport chain [GO:0022904]
A3RLT6	Ab_contig_5305	1.00e-51	RSSA_PINFU	reviewed	40S ribosomal protein SA		Pinctada fucata (Akoya pearl oyster) (Pinctada imbricata fucata)	301	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
A5A6J2	Ab_contig_89	1.28e-44	DDX5_PANTR	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5)	DDX5	Pan troglodytes (Chimpanzee)	614	alternative mRNA splicing, via spliceosome [GO:0000380]; androgen receptor signaling pathway [GO:0030521]; epithelial to mesenchymal transition [GO:0001837]; intracellular estrogen receptor signaling pathway [GO:0030520]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; myoblast differentiation [GO:0045445]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process [GO:0000956]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; pri-miRNA transcription by RNA polymerase II [GO:0061614]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of osteoblast differentiation [GO:0045667]; regulation of skeletal muscle cell differentiation [GO:2001014]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]
A5D6U8	Ab_contig_2005	6.49e-81	ACP7_DANRE	reviewed	Acid phosphatase type 7 (EC 3.1.3.2) (Purple acid phosphatase long form)	acp7 papl zgc:162913	Danio rerio (Zebrafish) (Brachydanio rerio)	443	
A5D6U8	Ab_contig_3439	6.81e-24	ACP7_DANRE	reviewed	Acid phosphatase type 7 (EC 3.1.3.2) (Purple acid phosphatase long form)	acp7 papl zgc:162913	Danio rerio (Zebrafish) (Brachydanio rerio)	443	
A6NMZ7	Ab_contig_936	1.46e-21	CO6A6_HUMAN	reviewed	Collagen alpha-6(VI) chain	COL6A6	Homo sapiens (Human)	2263	cell adhesion [GO:0007155]
A6QQ21	Ab_contig_1703	1.34e-83	CSN6_BOVIN	reviewed	COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6)	COPS6	Bos taurus (Bovine)	324	protein deneddylation [GO:0000338]
A7RWP6	Ab_contig_3964	2.49e-36	EIF3E_NEMVE	reviewed	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6)	v1g163572	Nematostella vectensis (Starlet sea anemone)	448	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]
B0BM36	Ab_contig_4863	1.17e-48	SDHB_XENTR	reviewed	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	sdhb	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	284	aerobic respiration [GO:0009060]; respiratory electron transport chain [GO:0022904]; tricarboxylic acid cycle [GO:0006099]
B0BNA9	Ab_contig_4442	1.10e-25	CNO11_RAT	reviewed	CCR4-NOT transcription complex subunit 11	Cnot11	Rattus norvegicus (Rat)	504	gene silencing by RNA [GO:0031047]; regulation of translation [GO:0006417]
B0FWD3	Ab_contig_233	3.25e-84	NU5M_AEDAE	reviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	mt:ND5 ND5	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	580	ATP synthesis coupled electron transport [GO:0042773]
B0FWK4	Ab_contig_780	5.92e-28	SPCS1_PIG	reviewed	Signal peptidase complex subunit 1 (EC 3.4.-.-) (Microsomal signal peptidase 12 kDa subunit) (SPase 12 kDa subunit)	SPCS1 SPC12	Sus scrofa (Pig)	102	protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465]
B1H3C9	Ab_contig_1601	9.92e-21	OST48_XENTR	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)	ddost	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	437	protein glycosylation [GO:0006486]; protein N-linked glycosylation via asparagine [GO:0018279]
B1H3C9	Ab_contig_4563	9.33e-36	OST48_XENTR	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)	ddost	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	437	protein glycosylation [GO:0006486]; protein N-linked glycosylation via asparagine [GO:0018279]
